1) Move right from (0,0) to (0,1) via (0,1) <--> (0,0)
2) Move right from (0,1) to (0,2) via (0,1) <--> (0,2)
3) Move right from (0,2) to (0,3) via (0,3) <--> (0,2)
4) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
5) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
6) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
7) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
8) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
9) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
10) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
11) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
12) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
13) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
14) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
15) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
16) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
17) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
18) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
19) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
20) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
21) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
22) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
23) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
24) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
25) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
26) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
27) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
28) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
29) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
30) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
31) Move right from (1,3) to (2,3) via (2,3) <--> (1,3)
32) Move left from (2,3) to (1,3) via (1,3) <--> (2,3)
33) Move right from (1,3) to (2,3) via (2,3) <--> (1,3)
34) Move left from (2,3) to (1,3) via (1,3) <--> (2,3)
35) Move up from (1,3) to (0,3) via (0,3) <--> (1,3)
36) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
37) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
38) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
39) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
40) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
41) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
42) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
43) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
44) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
45) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
46) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
47) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
48) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
49) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
50) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
51) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
52) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
53) Move left from (1,3) to (0,3) via (0,3) <--> (1,3)
54) Move down from (0,3) to (1,3) via (1,3) <--> (0,3)
55) Move right from (1,3) to (2,3) via (2,3) <--> (1,3)
56) Move right from (2,3) to (3,3) via (3,3) <--> (2,3)
Final solution:
<PATH_START> (0,0) (0,1) (0,2) (0,3) (1,3) (0,3) (1,3) (0,3) (1,3) (0,3) (1,3) (0,3) (1,3) (0,3) (1,3) (0,3) (1,3) (0,3) (1,3) (0,3) (1,3) (0,3) (1,3) (0,3) (1,3) (0,3) (1,3) (0,3) (1,3) (2,3) (3,3) <PATH_END>
